No,Question,Answer,,Expected Answer,CCS's Comment,Satisfaction Score,,Good,Satisfactory and Relevant
1,ขั้นตอนการติดตั้งเครื่อง edc ,"1. เสียบสาย Adapter เครื่อง EDC เข้ากับปลั๊กไฟ
2. นำสาย Port USB จากเครื่อง EDC เสียบที่เครื่องคอมพิวเตอร์ที่ใช้โปรแกรมการรับเงิน
3. ติดตั้ง Driver สำหรับใช้งานเครื่อง EDC",,-,-,Excellent,,,
2,โหลดไดร์เวอร์ได้ที่ไหน ,โหลดไดร์เวอร์ได้ที่หน้าเขียว http://misweb.bma.go.th หรือเข้า link โดยตรง http://misweb.bma.go.th/download/MISEDCTEMP/usb/Driver.rar จากนั้นทำการแตกไฟล์จะได้ไฟล์ดังภาพ,,เมื่อ clik link http://misweb.bma.go.th/download/MISEDCTEMP/usb/Driver.rar ใน Chatbot สามารถดาวน์โหลดได้โดยตรง ทุก web browser,เมื่อเปิด link BMA Document Chatbot in Chomeสามารถโหลดได้ยกเว้น เปิดใน Edge ไม่สามารถโหลดได้ ขึ้นข้อความ 'Driver.rar can't be downloaded securely',Good,,,
3,วิธีการตรวจสอบเวอร์ชันโปรแกรม ,-,,-,-,Excellent,,,
4,ดูไดร์เวอร์เครื่อง edc และ โปรแกรมเชื่อมต่อกับเครื่องรูดบัตร ว่าเป็นไดร์เวอร์ ไหนยังไง ,-,,-,-,Excellent,,,
5,ถ้าเวอร์ชันไม่ได้เป็นตัวล่าสุด ต้องทำอย่างไร ,-,,-,-,Excellent,,,
7,วิธีติดตั้ง driver เครื่องรูดบัตร ,วิธีการถอนการติดตั้งโปรแกรม Driver เครื่องรูดบัตรเวอร์ชันเก่า,,ควรเป็นวิธีติดตั้ง Driver ยังไม่ใช่วิธีถอนการติดตั้ง,"เมื่อถามว่าคำถามคล้ายกัน 'วิธีติดตั้ง Driver ของเครื่องรูดบัตร EDC' AI ตอบ ---> ""วิธีการตรวจสอบเวอร์ชั่นโปรแกรม""",Good,,,
8,วิธีติดตั้ง โปรแกรมเชื่อมต่อกับเครื่องรูดบัตร ,-,,-,-,Good,,,
9,ตรวจสอบเครื่อง edc ว่าใช้งานได้ไหม อย่างไร ,-,,-,-,Excellent,,,
10,วิธีการค้นหาใบแจ้งการชำระ ,-,,-,-,Excellent,,,
11,รับเงินผ่าน QR Code ต้องทำยังไง ,ตอบเป็นขั้นตอนการรับเงินผ่าน QR Code แบบไม่เชื่อมโยง,,"""1. เข้าหน้าจอ รับเงินจากใบแจ้งชำระ
2. ค้นหาใบแจ้งชำระ จาก ref1 ของใบแจ้งชำระ
3. เลือกใบแจ้งชำระที่ต้องการจ่ายเงิน
4. เลือกจ่ายเงิน เฉพาะเงินโอน
5. กดปุ่ม """"สร้าง QR CODE และ พิมพ์ slip""""
6.  เครื่อง EDC จะแสดงและพิมพ์ QR CODE
7. ประชาชน สแกนจ่าย
8. กดปุ่มสีเขียวที่เครื่อง EDC
9. sale slip จะถูก พิมพ์ออกมา และระบบการเงินรับ จะขึ้นแจ้งว่า บันทึกเรียบร้อย และ พิมพ์ ใบเสร็จ""",ต้องตอบ เรื่องรับ QR ตาม flow ปกติ ไม่ใช่ flow ของรับแบบไม่เชื่อมโยง,Poor,,,
12,วิธีรับเงินจากบัตรเดบิต บัตรเครดิต ,,,"กรณีติดตั้ง โปรแกรมเรียบร้อยแล้ว
1.เข้าหน้าจอรับเงินตามใบแจ้งชำระ 
2. ค้นหาใบแจ้งชำระ
3. เลือกบัตรเครดิต/เดบิต/ATM (กรณีจะจ่ายด้วยบัตร ผ่านเครื่ง EDC)
4.ระบุธนาคารของบัตรเครดิต
5.ตรวจสอบยอดเงิน และใบแจ้งชำระว่าถูกต้องหรือไม่
6. กดปุ่ม ยืนยันการรูดบัตร
ึึ7. รูด/หรือเสียบบัตร ที่เครื่อง EDC
8. กดปุ่มยืนยันในเครื่อง EDC
9 เครื่อง EDC จะ พิมพ์ sale slip ออกมา
10. หน้าจอรับเงินตามใบแจ้งชำระ จะขึ้นบันทึกเรียบร้อย และพิมพ์ใบเสร็จ",,Excellent,,,
13,รับเงินจาก QR Code แบบไม่เชื่อมโยงทำยังไง ,,,,,Excellent,,,
14,ดูรายงานการเงินรับ QR ทั้งแบบตามประเภทรายได้และแบบปกติ ,,,,รูปภาพประกอบไม่ขึ้น,Good,,,
16,ระบบการรับเงินด้วยเครื่อง EDC นี้ใช้สำหรับอะไร ,"รายงานที่เกี่ยวข้องกับการใช้งานร่วมกับเครื่องรูดบัตร EDC ระบบการเงินรับ อยู่ในส่วนเมนูรายงานประจำวัน เลือกเมนูหัวข้อ ประกอบด้วย:

รายงานการรับเงินด้วยบัตรเครดิต/เดบิต/ATM/QR
รายงานการรับเงินด้วยบัตรเครดิต/เดบิต/ATM/QR ตามประเภทรายได้",,-,ควรตอบจุดประสงค์ของการใข้งาน,Poor,,,
17,ต้องติดตั้งอะไรบ้างก่อนใช้งานเครื่อง EDC ,-,,-,,Good,,,
18,จะเข้าใช้งานโปรแกรมการรับเงินได้อย่างไร ,ขั้นตอนการเข้าใช้โปรแกรมการรับเงินรายได้จากใบแจ้งการชำระ,,ควรตอบเป็นวิธี Log in และเลือกหน้าโปรแกรมระบบการเงินรับ,,Poor,,,
19,สามารถค้นหาใบแจ้งการชำระได้ด้วยวิธีใดบ้าง ,-,,-,,Good,,,
20,เมื่อค้นหาใบแจ้งการชำระแล้ว จะได้ผลลัพธ์อย่างไร ,-,,-,,Excellent,,,
23,เมื่อรับเงินผ่าน QR Code สำเร็จแล้ว ระบบจะทำอะไรบ้าง ,,,,,Excellent,,,
24,เครื่องรูดบัตรไม่ตอบสนอง ต้องทำอย่างไร ,,,,,Good,,,
25,เมื่อติดตั้งทุกอย่างแล้วแต่ยังใช้งานไม่ได้ ควรทำอย่างไร ,,,,,,,,
26,สามารถ download Java JDK6 ได้จากที่ไหน,-,,-,-,,,,
27,สามารถ download Verifone Driver ได้จากที่ไหน ,ดาวโหลดตรง http://misweb.bma.go.th/download/MISEDCTEMP/usb/Driver.rar ,,,เพิ่มช่องทาง วิธีการ dowload ที่หน้าเขียวด้วย หน้าเขียว เข้าแบบไหน และ link download ตรง ถูกต้องแล้ว,Good,,,
28,ก่อนใช้เครื่องรูดบัตร edc ต้องทำอะไรบ้าง ,"1. ลบ MIS Link Post version เดิม
2. ติดตั้ง MIS link Pos 1.1",,"1.ติดตั้ง Java Jdk6  

2.ติดตั้ง MIS link Pos 1.1  

3.ติดตั้ง Verifone Driver Version 5.0  

4.ต้องกดปุ่มทดสอบเครื่องรูดบัตร ใน หน้าจอรับเงินจากใบแจ้งชำระ ใน tab บัตรเครดิต/เดบิต/ATM และต้องแสดงข้อความว่า เครื่องรูดบัตรพร้อมใช้งาน",เพิ่ิ่มขั้นตอนให้ครบ,Poor,,,
29,การใช้เครื่องEDC ผู้ใช้งานสามารถใช้ทำอะไรได้บ้าง ที่เกี่ยวข้องกับระบบMIS2,"ผู้ใช้งานสามารถใช้เครื่อง EDC เพื่อทำรายงานที่เกี่ยวข้องกับการรับเงินด้วยบัตรเครดิต/เดบิต/ATM/QR และรายงานการรับเงินด้วยบัตรเครดิต/เดบิต/ATM/QR ตามประเภทรายได้ โดยสามารถเข้าถึงรายงานเหล่านี้ได้ในส่วนเมนูรายงานประจำวันของระบบ MIS2

รายงานที่เกี่ยวข้อง:

รายงานการรับเงินด้วยบัตรเครดิต/เดบิต/ATM/QR
รายงานการรับเงินด้วยบัตรเครดิต/เดบิต/ATM/QR ตามประเภทรายได้",,"1. สร้าง QR CODE เพื่อให้ประชาชนจ่ายเงินผ่านการโอนเงินด้วย QR CODE และออกสลิปใบเสร็จหลังจากการจ่ายเงิน 

2. รูดบัตรเครดิต / เดบิต /ATM พร้อมกับออกสลิปใบเสร็จ 

3. ยกเลิกการรูดบัตรเครดิต/เดบิต/ATM พร้อมกับออกสลิปใบเสร็จ 

4. พิมพ์สลิปใบเสร็จล่าสุดอีกครั้ง 

5. Settlement ยอดหลังจากปิดประมวลผลประจำวัน",,Poor,,,
30,การสร้าง QR CODE จากระบบMIS2 ทำใน tab ใด,"การสร้าง QR Code จากระบบ MIS2 ทำได้ใน Tab ที่เลือกข้อมูลรายการรับเงิน โดยทำตามขั้นตอนดังนี้:

เลือกระบบงาน MIS2 จากหน้าจอหลัก
เลือก Tab ที่เลือกข้อมูลรายการรับเงิน
ระบุเลขที่ใบแจ้งการชำระที่ต้องการรับเงิน
ระบุประเภทการรับเงิน
กดปุ่ม 'สร้าง QR Code และพิมพ์ Slip'
ดังรูป",,tab เฉพาะเงินโอน,,Good,,,
31,เมื่อรับชำระผ่านการโอนเงินโดยใช้ QR CODE สามารถยกเลิกได้หรือไม่ ,ตามข้อกำหนดในเอกสาร 6.3 การรับเงินผ่าน QR Code แบบไม่เชื่อมโยง การชำระเงินผ่าน QR Code จะถูกบันทึกในระบบเมื่อมีการชำระเงินเรียบร้อยแล้ว และไม่สามารถยกเลิกได้,,,,Excellent,,,
32,เมื่อรับชำระโดยใช้บัตรเครดิต/เดบิต/ATM ถ้าต้องการยกเลิกต้องเข้าหน้าจอใด ,เมื่อต้องการยกเลิกการรับชำระโดยใช้บัตรเครดิต/เดบิต/ATM คุณต้องเข้าหน้าจอ Control Panel จากนั้นเลือกเมนู MIS2 Link POS และทำตามขั้นตอนดังรูป,,หน้าจอ ยกเลิกการรับเงิน ,ต้องตอบ หน้าจอ ยกเลิกการรับเงิน,Poor,,,
33,หน้าจอยกเลิกการรับเงิน ถ้าต้องการยกเลิกการรับเงินผ่านบัตรเครดิต/เดบิต/ATM ต้องระบุอะไรก่อนทำการยกเลิก ,หากต้องการยกเลิกการรับเงินผ่านบัตรเครดิต/เดบิต/ATM ต้องระบุเลขที่ใบแจ้งการชำระที่ต้องการรับเงิน จากข้อมูลรายการรับเงิน สามารถระบุได้มากกว่า 1 ใบแจ้งการชำระ,,ต้อง ระบุ trace no และ approve code ที่แสดงบนสลิปใบเสร็จที่พิมพ์ออกจากระบบ ,ต้องแสดงหน้าจอยกเลิกรับเงิน ไม่ใช่ หน้ารับเงิน,Poor,,,
34,QR CODE จากเครื่องรูดบัตร ประกอบด้วยข้อมูลสำคัญอะไรบ้าง ,"QR Code จากเครื่องรูดบัตร ประกอบด้วยข้อมูลสำคัญดังต่อไปนี้:

เลขที่ใบแจ้งการชำระ
ประเภทการรับเงิน
ธนาคาร
รายละเอียดข้อมูลบัตรเดบิต/เครดิต
ยอดรายการที่ต้องการรับชำระ  และแสดงรูป หน้าจอรับเงิน",,"1. REF1 จะมี 18 หลัก 4 หลักแรกคือ รหัสเขต ขึ้นต้นด้วย 50 , 4 หลักถัดไป คือรหัส ประเภทรายได้ , 2 หลักถัดไป คือปีภาษี เป็นพ.ศ. 2หลัก ,8 หลักถัดไปคือ เลขrunning เช่น r ประกอบด้วย 5021 คือ รหัสเขตภาษีเจริญ 1018 ประเภทภาษีที่ดินและสิ่งปลูกสร้าง 68 คือปีภาษี 2568 และ เลข running 10008901  

2. REF2 จะมี 18 หลัก 6หลักแรก จะเป็นวันที่ครบกำหนดชำระ และตามด้วย 0 จำนวน12ตัว เช่น 300668000000000000 ประกอบด้วย300668 คือครบกำหนดชำระ 30/06/2568 

3. จำนวนเงิน",,Poor,,,
35,QR Code พิมพ์ไม่ออกมา ทำไงดี ,"เมื่อ QR Code ไม่สามารถพิมพ์ได้ คุณสามารถตรวจสอบขั้นตอนดังต่อไปนี้:

ตรวจสอบว่าเครื่อง EDC ทำงานอย่างถูกต้องหรือไม่
ตรวจสอบว่ามีการเชื่อมต่ออินเทอร์เน็ตหรือไม่
ตรวจสอบว่าโปรแกรม MIS2 Link POS ทำงานได้อย่างปกติ
หากปัญหายังคงอยู่ คุณสามารถทำตามขั้นตอนดังต่อไปนี้:

ตรวจสอบการตั้งค่า Environment Variables ในระบบ
ตรวจสอบการติดตั้งโปรแกรม MIS2 Link POS",,"1.ระบุเลขที่ใบแจ้งการชำระที่ต้องการรับเงิน
จากข้อมูลรายการรับเงิน สามารถระบุได้มากกว่า 1 ใบแจ้งการชำระ
2.ระบุประเภทการรับเงิน
เป็น 'เฉพาะเงินโอน' จากข้อมูลเอกสารการเงิน สามารถระบุได้ 1 ประเภทการรับเงิน
3.กดปุ่ม 'สร้าง QR Code และพิมพ์ Slip'

เพื่อพิม QR Code ใหม่",,Poor,,,
36,ทำไมต้องกดปุ่มสีเขียว/แดงที่เครื่อง EDC ,-,,สีเขียวคือไว้ยืนยัน สีแดงคือไว้ยกเลิก,,Poor,,,
37,ต้องทำรายงานเครื่อง EDC ยังไง ,,,,,,,,
38,ระบบบอกว่าใบแจ้งการชำระหาไม่เจอ ,,,ให้ติดต่อเจ้าหน้าที่ฝ่ายรายได้,,Poor,,,
39,อยากดูรายงานตามประเภทรายได้ทำยังไง ,-,,,,Excellent,,,
41,ต้องล็อกอินเข้าระบบยังไงบ้าง ,-,,-,มีแก้ไขเพิ่มเติมขั้นตอน(วิธีการเข้าสู่ระบบ) จากเอกสารเดิมเล็กน้อย เดี๋ยวอัพเดตเพิ่มเติมเอกสารให้ใหม่ค่ะ ,Excellent,,,
42,"เครื่อง EDC แสดงข้อความ ""รายการไม่สำเร็จ"" ทำไง ","1.ตรวจสอบว่าเครื่อง EDC พร้อมใช้งานกับโปรแกรมรับเงินรายได้จากใบแจ้งการชำระหรือไม่
2.ตรวจสอบหมายเลข Trace No. ใน Sale Slip
3.ตรวจสอบข้อความที่ปรากฏบนเครื่อง EDC
4.แจ้งรายการชำระเงินไม่เสร็จกับผู้ชำระภาษี",,"1.ตรวจสอบหมายเลข Trace No. ใน Sale Slip
2.ตรวจสอบข้อความที่ปรากฏบนเครื่อง EDC
   - หากผู้ชำระชำระเรียบร้อย เครื่อง EDC จะปรากฏดังรูป xx และให้ดำเนินการทำขั้นตอน รับเงินแบบไม่เชื่อโยง ต่อไป
   - หากผู้ชำระชำระไม่สำเร็จ เครื่อง EDC จะปรากฏดังรูป xx แจ้งประชาชนให้ตรวจสอบการหลักฐานการชำระเงินให้อีกครั้ง","- ไม่ต้องมีขั้นตอนที่ 1 และ 4 
- เพิ่มคำอธิบายหลังจากตรวจสอบข้อความที่ปรากฎบนเครื่อง EDC เพื่อให้ทราบถึงขั้นตอนถัดไป",Good,,,
43,ถ้าจ่ายเงินผ่าน QR Code แล้วแต่ระบบไม่ขึ้น ทำไง ,,,,,,,,
44,ต้องการรับเงินจากใบแจ้งชำระจากประชาชน จะต้องเข้าที่เมนูอะไร,-,,-,,Excellent,,,
45,เครื่อง EDC ไม่เชื่อมต่อกับคอมพิวเตอร์ ทำยังไง ,-,,-,-,Good,,,
46,ใส่เลขบัตรประชาชนแล้วไม่เจอ ทำไง ,"เมื่อใส่เลขบัตรประชาชนแล้วไม่เจอ คุณสามารถตรวจสอบตามขั้นตอนดังนี้:

เปิดโปรแกรม Control Panel ของ Windows",,,คำตอบบางชุดไม่เกี่ยวกับการใส่เลขบัตรประชาชน เช่นการให้ไปเปิด โปรแกรม Control Panel ของ Windows,Poor,,,
47,สแกน QR Code แล้วต้องทำอะไรต่อ ,"เมื่อคุณสแกน QR Code แล้ว คุณสามารถทำตามขั้นตอนดังนี้:

ยืนยันข้อมูลใบแจ้งการชำระ: ตรวจสอบรายละเอียดใน QR Code ให้แน่ใจว่าตรงกับข้อมูลในใบแจ้งการชำระของคุณ เช่น เลขที่ใบแจ้งการชำระ ชื่อ-นามสกุล และเลขที่บัตรประชาชน

กดปุ่ม <ยืนยัน>: หากข้อมูลถูกต้อง ให้กดปุ่ม ""ยืนยัน"" บนหน้าจอของเครื่อง EDC เพื่อดำเนินการต่อ

ชำระเงินผ่านบัตรเครดิต/เดบิต: หลังจากกดปุ่ม ""ยืนยัน"" แล้ว ระบบจะนำคุณไปยังหน้าจอการชำระเงินผ่านบัตรเครดิต/เดบิต

รูดบัตร: ใส่บัตรเครดิต/เดบิตลงในเครื่อง EDC เพื่อทำการรูดบัตร

เซ็นเซ็นเซอร์ (ถ้ามี): หากระบบต้องการเซ็นเซ็นเซอร์ ให้เซ็นเซ็นเซอร์ตามคำแนะนำ

พิมพ์ใบเสร็จ: เมื่อการชำระเงินเสร็จสิ้น ระบบจะพิมพ์ใบเสร็จออกมาให้

หากมีปัญหาเกิดขึ้นระหว่างกระบวนการ คุณสามารถตรวจสอบข้อมูลที่กรอกไว้ให้ถูกต้อง หรือติดต่อเจ้าหน้าที่ที่เกี่ยวข้องเพื่อขอความช่วยเหลือเพิ่มเติม",,,คำตอบบางชุด ยังไม่ถูก บางชุดถูก เช่น จากหน้าจอเครื่อง EDC ให้ผู้ใช้งานเลือก ข้อ 1) QR PAYMENT กดหมายเลข 1 ที่เครื่อง EDC ดังรูป อันนี้เป็นขั้นตอนตรวจสอบการชำระ QR Code,Good,,,
48,ลืมรหัสผ่านบัตรเดบิต/เครดิต ทำยังไง ,ฉันสามารถช่วยตอบคำถามเกี่ยวกับวิธีการใช้ระบบ MIS ได้ แต่ฉันไม่มีข้อมูลเกี่ยวกับรหัสผ่านบัตรเดบิต/เครดิตของคุณ สำหรับปัญหาเกี่ยวกับรหัสผ่านของบัตร ควรติดต่อธนาคารที่ออกบัตรของคุณโดยตรงเพื่อขอความช่วยเหลือเพิ่มเติมค่ะ,,-,-,Excellent,,,
49,ใบแจ้งการชำระจ่ายแล้วจะขึ้นยังไง ,"สวัสดีค่ะ ฉันสามารถช่วยเหลือเกี่ยวกับคำถามเกี่ยวกับการทำงานและการตั้งค่าของระบบ BMA MIS ได้ แต่ไม่สามารถให้ข้อมูลเกี่ยวกับใบแจ้งการชำระจ่ายได้ เนื่องจากข้อมูลเกี่ยวกับนโยบายการชำระเงินหรือใบแจ้งหนี้เป็นหน้าที่ของหน่วยงานที่เกี่ยวข้องใน BMA ค่ะ

หากคุณมีคำถามเกี่ยวกับการเข้าถึงหรือการตรวจสอบใบแจ้งการชำระเงินในระบบ BMA MIS หรือคำถามเกี่ยวกับการทำงานของฟีเจอร์ใด ๆ ในระบบ ฉันยินดีที่จะช่วยค่ะ

หรือหากคุณต้องการข้อมูลเกี่ยวกับนโยบายการชำระเงินหรือใบแจ้งหนี้ อาจจะเป็นการดีที่สุดที่จะติดต่อหน่วยงาน BMA ที่เกี่ยวข้องหรือผู้ดูแลระบบมนุษย์เพื่อขอข้อมูลเพิ่มเติมค่ะ",,ใบแจ้งชำระนี้ มีการรับเงินแล้ว พร้อมระบุ เลขที่ใบเสร็จที่เคยรับไปว่าได้ เลขที่ใบเสร็จลำดับที่เท่าไหร่,-,Poor,,,
50,ถ้าพิมพ์ QR Code หรือ Sale Slip ไม่ออกจะทำยังไง ,,,,,Good,,,
51,ต้องการใช้งานเครื่อง edc กับหน้าจอการรับเงิน ต้องทำอย่างไร ,"ต้องการใช้งานเครื่อง edc กับหน้าจอการรับเงิน ต้องทำอย่างไร

เจ้าหน้าที่ผู้ใช้งานต้องเข้าใช้งาน ผ่านระบบ Single Sign On และเลือกระบบงาน MIS2 ดังรูป 2-1
เลือกระบบงานที่ต้องการใช้งาน ระบบงานการเงินรับ จะปรากฏหน้าจอหลัก ระบบงานการเงินรับ ดังรูป 2-2",,"กรณีติดตั้ง โปรแกรมเรียบร้อยแล้ว
1.เข้าหน้าจอรับเงินตามใบแจ้งชำระ 
2. ค้นหาใบแจ้งชำระ
3. เลือกเฉพาะเงินโอน (กรณีจะจ่ายด้วย QR CODE ด้วยเครื่อง EDC)
4. เลือกบัตรเครดิต/เดบิต/ATM (กรณีจะจ่ายด้วยบัตร ผ่านเครื่ง EDC)",,Poor,,,
52,เครื่องรูดบัตรไม่แสดงข้อความ เชื่อมต่อเครื่องคอมฯ ที่หน้าจอ ต้องทำอย่างไร ,,,,,Good,,,
53,ได้เครื่องรูดบัตรมาใหม่ สำหรับใช้งานกับระบบรับเงิน MIS2 ต้องทำอย่างไร,"1.ตรวจสอบเวอร์ชันของโปรแกรม พร้อมภาพประกอบ
2.ติดตั้งโปรแกรม MIS2 Link POS พร้อมภาพประกอบ",,"""1.ติดตั้ง Java Jdk6  

2.ติดตั้ง MIS link Pos 1.1  

3.ติดตั้ง Verifone Driver Version 5.0  

4.ต้องกดปุ่มทดสอบเครื่องรูดบัตร ใน หน้าจอรับเงินจากใบแจ้งชำระ ใน tab บัตรเครดิต/เดบิต/ATM และต้องแสดงข้อความว่า เครื่องรูดบัตรพร้อมใช้งาน  """,,Good,,,
54,ทำการติดตั้งเครื่อง edc ใหม่ตามคู่มือทุกขั้นตอนแล้ว แต่ทำไมเข้า Device manager แล้วไม่พบ Port COM9,"เนื่องจากคุณได้ทำการติดตั้งเครื่อง edc ใหม่ตามคู่มือทุกขั้นตอนแล้ว แต่ยังไม่สามารถพบ Port COM9 ใน Device Manager ได้ คุณควรตรวจสอบว่า Port ที่ระบุในไฟล์ portName.txt ตรงกับ Port ที่ปรากฏใน Device Manager หรือไม่

ดับเบิลคลิกไฟล์ portName.txt ซึ่งไฟล์นี้จะอยู่ที่ C:\MISEDCTEMP\log
ตรวจสอบข้อความในไฟล์ portName.txt ว่ามีข้อความว่า COM ตามด้วยเลขใด
เปิด Device Manager และตรวจสอบว่า Port ที่ชื่อ VX 520 GPRS Terminal มีหมายเลข Port ตรงกับเลขในไฟล์ portName.txt หรือไม่
หากหมายเลข Port ไม่ตรงกัน คุณควรทำการแก้ไขไฟล์ portName.txt ดังนี้:

เปิดไฟล์ portName.txt และแก้ไขข้อความให้ตรงกับ Port ที่ปรากฏใน Device Manager
คลิก File > Save เพื่อบันทึกการเปลี่ยนแปลง
หลังจากนั้น ทำการทดสอบเครื่องรูดบัตรอีกครั้งในระบบ",,"1. ตรวจสอบว่าลงโปรแกรม verifone Driver 5.0 หรือยัง
2. ตรวจสอบว่าเสียบสายเครื่องรูดบัตร เข้ากับ เครื่องคอมพิวเตอร์แน่นแล้วหรือยัง",เพิ่มคำตอบเรื่องสายไม่แน่น เข้าไปด้วย,Good,,,
55,ประชาชนได้นำใบแจ้งการชำระภาษีที่ได้รับ มาชำระภาษีที่เขต และสะดวกชำระด้วยวิธีการแสกนจ่ายด้วย QR Code จะต้องเลือกวิธีการรับเงินที่หน้าจอการรับเงินอย่างไร ,"ในการเลือกวิธีการรับเงินที่หน้าจอการรับเงิน เมื่อประชาชนนำใบแจ้งการชำระภาษีที่ได้รับมาชำระภาษีที่เขตและต้องการชำระด้วยวิธีการแสกนจ่ายด้วย QR Code ผู้ใช้งานควรทำตามขั้นตอนดังต่อไปนี้:

1. จากหน้าจอเครื่อง EDC ให้ผู้ใช้งานเลือก ข้อ 1) QR PAYMENT โดยกดหมายเลข 1 ที่เครื่อง EDC ดังรูป
2.เมื่อกดหมายเลข 1 เรียบร้อยแล้ว ให้ผู้ใช้งานเลือก ข้อ 3) ตรวจสอบการชำระเงิน โดยกดหมายเลข 3 ที่เครื่อง EDC จะปรากฏหน้าจอ ดังรูป
3.เมื่อกดหมายเลข 3 เรียบร้อยแล้ว ให้นำเลข Trace No. ใน Sale Slip ไปตรวจสอบโดยใส่หมายเลขสลิป (Trace No) จากนั้นกดปุ่มสีเขียวเพื่อยืนยันการตรวจสอบ จะปรากฏหน้าจอ ดังรูป",,"1. เข้าหน้าจอ รับเงินจากใบแจ้งชำระ
2. ค้นหาใบแจ้งชำระ จาก ref1 ของใบแจ้งชำระ
3. เลือกใบแจ้งชำระที่ต้องการจ่ายเงิน
4. เลือกจ่ายเงิน เฉพาะเงินโอน
5. กดปุ่ม ""สร้าง QR CODE และ พิมพ์ slip""
6.  เครื่อง EDC จะแสดงและพิมพ์ QR CODE
7. ประชาชน สแกนจ่าย
8. กดปุ่มสีเขียวที่เครื่อง EDC
9. sale slip จะถูก พิมพ์ออกมา และระบบการเงินรับ จะขึ้นแจ้งว่า บันทึกเรียบร้อย และ พิมพ์ ใบเสร็จ",ต้องแสดงขั้นตอนการค้นหาใบแจ้งชำระ และขั้นตอนการสร้าง qr code และขั้นตอนการ scan หลังสแกนต้องทำอย่างไร,Poor,,,
56,สามารถรับชำระภาษีจากใบแจ้งการชำระได้ครั้งละกี่ใบต่อการรับเงินหนึ่งครั้ง ,ไม่สามารถรับชำระภาษีจากใบแจ้งการชำระได้ครั้งละกี่ใบต่อการรับเงินหนึ่งครั้ง ขออภัยค่ะ ฉันไม่พบข้อมูลเกี่ยวกับเรื่องนี้ในเอกสารที่มีอยู่,,ไม่เกิน 99 ใบ,,Poor,,,
57,เมื่อทำการรับเงินจากใบแจ้งชำระครั้งละมากกว่า1 ใบ จะได้รับใบเสร็จรับเงินที่ได้จากระบบ MIS2 กี่ใบ,"ตามข้อกำหนดในเอกสาร:

เมื่อทำการรับเงินจากใบแจ้งชำระครั้งละมากกว่า 1 ใบ จะได้รับใบเสร็จรับเงินที่ได้จากระบบ MIS2 ตามจำนวนใบแจ้งชำระที่ระบุไว้",,,,Excellent,,,
58,ในการรับชำระเงิน จากใบแจ้งชำระประชาชน  สามารถรับชำระเงิน ได้กี่แบบ  ? ,"ในการรับชำระเงินจากใบแจ้งชำระประชาชน สามารถรับชำระเงินได้ 3 แบบ ได้แก่:

การรับเงินผ่าน QR Code แบบไม่เชื่อมโยง
การรับเงินด้วย QR Code
การรับเงินด้วยบัตรเครดิต/เดบิต/ATM",,"ในการรับชำระเงินจากใบแจ้งชำระประชาชน สามารถรับชำระเงินได้ 5แบบ ได้แก่:
1. เฉพาะเงินสด/ธนาณัติ
2. เฉพาะเช็ค/แคชเชียร์เช็ค
3.เฉพาะเงินโอน 
 3.1 การรับเงินด้วย QR Code
  3.2 การรับเงินผ่าน QR Code แบบไม่เชื่อมโยง
 3.3 เปย์อิน,ใบโอนเดบิต
4.เงินสดและเช็ค
5. บัตรเครดิต/เดบิต/ATM

การรับเงินด้วยบัตรเครดิต/เดบิต/ATM",ต้องปรับคำตอบใหม่,Poor,,,
59,ต้องฉีกสลิปใบไหน ให้ประชาชน Scan จ่ายเงิน ? ,ให้ฉีก THAI QR PAYMENT Slip ส่งให้ประชาชน Scan จ่ายเงิน ตามภาพ,,,,Excellent,,,
60,"""please SCAN QR CODE"" คืออะไร  ? ","""please SCAN QR CODE"" หมายถึงข้อความที่ปรากฏบนหน้าจอเครื่อง EDC เมื่อผู้ใช้กำลังทำการรับเงินจากประชาชนโดยใช้ QR Code ตามที่แสดงในภาพ",,"""please SCAN QR CODE"" หมายถึงข้อความที่ปรากฏบนหน้าจอเครื่องระบบการเงินรับ  และเครื่อง EDC เมื่อผู้ใช้กำลังทำการรับเงินจากประชาชนโดยใช้ QR Code ตามที่แสดงในภาพ",เพิ่มคำว่า เครื่องระบบการเงินรับ ด้วย,Good,,,
61,"""please insert card"" คืออะไร ","""please insert card"" คือข้อความที่ปรากฏบนหน้าจอเครื่อง EDC เมื่อผู้ใช้ต้องการรูดบัตรเพื่อทำการชำระเงิน ดังใน",,"""please insert card"" คือข้อความที่ปรากฏบนหน้าจอเครื่องระบบการเงินรับ  และ เครื่อง EDC เมื่อผู้ใช้ต้องการรูดบัตรเพื่อทำการชำระเงิน ",เพิ่มคำว่า เครื่องระบบการเงินรับ ด้วย,Good,,,
62,หมายเลขสลิป ในเครื่อง EDC คืออะไร ,หมายเลขสลิปในเครื่อง EDC คือหมายเลข Trace No. ซึ่งใช้ในการตรวจสอบการชำระเงินผ่าน QR Code แบบไม่เชื่อมโยง,,,,Excellent,,,